,open,high,low,close,adj close,volume
2020-02-25,300.95,302.53,286.13,288.08,70.5196756804776,57668364.0
2020-02-26,286.53,297.88,286.5,292.65,71.638375062107,49678431.0
2020-02-27,281.1,286.0,272.96,273.52,66.9555043464463,80151381.0
2020-02-28,257.26,278.41,256.37,273.36,66.9163376284899,106721230.0
2020-03-02,282.28,301.44,277.72,298.81,73.146293703428,85349339.0
2020-03-03,303.67,304.0,285.8,289.32,70.8232177446397,79868852.0
2020-03-04,296.44,303.4,293.13,302.74,74.1083262132317,54794568.0
2020-03-05,295.52,299.55,291.41,292.92,71.7044688986584,46893219.0
2020-03-06,282.0,290.82,281.23,289.03,70.7522280683437,56544246.0
2020-03-09,263.75,278.09,263.0,266.17,65.1562832403247,71686208.0
2020-03-10,277.14,286.44,269.37,285.34,69.8489456354745,71322520.0
2020-03-11,277.39,281.22,271.86,275.43,67.4230570420507,64094970.0
2020-03-12,255.94,270.0,248.0,248.23,60.7647149894646,104618517.0
2020-03-13,264.89,279.92,252.95,277.97,68.0448286896084,92683032.0
2020-03-16,241.95,259.08,240.0,242.21,59.2910672263555,80605865.0
2020-03-17,247.51,257.61,238.4,252.86,61.8981018903276,81013965.0
2020-03-18,239.77,250.0,237.12,246.67,60.3828394893898,75058406.0
2020-03-19,247.39,252.84,242.61,244.78,59.92018263353,67964255.0
2020-03-20,247.18,251.83,228.0,229.24,56.1161151520157,100423346.0
2020-03-23,228.08,228.5,212.61,224.37,54.9239781742182,84188208.0
2020-03-24,236.36,247.69,234.3,246.88,60.4342458067076,71882773.0
2020-03-25,250.75,258.25,244.3,245.52,60.1013287040783,75900510.0
2020-03-26,246.52,258.68,246.36,258.44,63.2640411790567,63140169.0
2020-03-27,252.75,255.87,247.05,247.74,60.6447669157232,51054153.0
2020-03-30,250.74,255.52,249.4,254.81,62.3754462654211,41994110.0
2020-03-31,255.6,262.49,252.0,254.29,62.2481544320628,49250501.0
2020-04-01,246.5,248.72,239.13,240.91,58.9728376429598,44054638.0
2020-04-02,240.34,245.15,236.9,244.93,59.9569014316141,41483493.0
2020-04-03,242.8,245.7,238.97,241.41,59.0952336365736,32470017.0
2020-04-06,250.9,263.11,249.38,262.47,64.2505528875832,50455071.0
2020-04-07,270.8,271.7,259.0,259.43,63.5063852464118,50721831.0
2020-04-08,262.74,267.37,261.23,266.07,65.1318040416019,42223821.0
2020-04-09,268.7,270.07,264.7,267.99,65.6018046570786,40529123.0
2020-04-13,268.31,273.7,265.83,273.25,66.8894105098949,32755731.0
2020-04-14,280.0,288.25,278.05,287.05,70.2675399336334,48748672.0
2020-04-15,282.4,286.33,280.63,284.43,69.6261849270975,32788641.0
2020-04-16,287.38,288.2,282.35,286.69,70.1794148182315,39281290.0
2020-04-17,284.69,286.95,276.86,282.8,69.2271739879168,53812478.0
2020-04-20,277.95,281.68,276.85,276.93,67.7902450228918,32503750.0
2020-04-21,276.28,277.25,265.43,268.37,65.694825612225,45247893.0
2020-04-22,273.61,277.9,272.2,276.1,67.5870676734931,29264342.0
2020-04-23,275.87,281.75,274.87,275.03,67.3251402471597,31203582.0
2020-04-24,277.2,283.01,277.0,282.97,69.2687886257455,31627183.0
2020-04-27,281.8,284.54,279.95,283.17,69.317747023191,29271893.0
2020-04-28,285.08,285.83,278.2,278.58,68.1941518018171,28001187.0
2020-04-29,284.73,289.67,283.89,287.73,70.433998484948,34320204.0
2020-04-30,289.96,294.53,288.35,293.8,71.9198858474185,45765968.0
2020-05-01,286.25,299.0,285.85,289.07,70.7620197478328,60154175.0
2020-05-04,289.17,293.69,286.32,293.16,71.763218975593,33391986.0
2020-05-05,295.06,301.0,294.46,297.56,72.8403037193937,36937795.0
2020-05-06,300.46,303.24,298.87,300.63,73.5918151201819,35583438.0
2020-05-07,303.22,305.17,301.97,303.74,74.3531182004592,28803764.0
2020-05-08,305.64,310.35,304.29,310.13,76.1180684283689,33511985.0
2020-05-11,308.1,317.05,307.24,315.01,77.3158118712169,36486561.0
2020-05-12,317.83,319.69,310.91,311.41,76.4322306428865,40575263.0
2020-05-13,312.15,315.95,303.21,307.65,75.5093791377413,50155639.0
2020-05-14,304.51,309.79,301.53,309.54,75.9732592826148,39732269.0
2020-05-15,300.35,307.9,300.21,307.71,75.5241054915468,41587094.0
2020-05-18,313.17,316.5,310.32,314.96,77.3035399097123,33843125.0
2020-05-19,315.03,318.52,313.01,313.14,76.8568405109452,25432385.0
2020-05-20,316.68,319.52,316.52,319.23,78.3515654222043,27876215.0
2020-05-21,318.66,320.89,315.87,316.85,77.7674200545858,25672211.0
2020-05-22,315.77,319.23,315.35,318.89,78.2681160839731,20450754.0
2020-05-26,323.5,324.24,316.5,316.73,77.7379673469748,31380454.0
2020-05-27,316.14,318.71,313.09,318.11,78.0766734845015,28236274.0
2020-05-28,316.77,323.44,315.63,318.25,78.1110349767143,33449103.0
2020-05-29,319.25,321.15,316.47,317.94,78.0349488153859,38399532.0
2020-06-01,317.75,322.35,317.21,321.85,78.9946162050448,20254653.0
2020-06-02,320.75,323.44,318.93,323.34,79.3603206578816,21910704.0
2020-06-03,324.66,326.2,322.3,325.12,79.797202487445,26122804.0
2020-06-04,324.39,325.62,320.78,322.32,79.1099726431879,21890091.0
2020-06-05,323.35,331.75,323.23,331.5,81.3631047754306,34312550.0
2020-06-08,330.25,333.6,327.32,333.46,81.8441656664106,23913634.0
2020-06-09,332.14,345.61,332.01,343.99,84.4286407592772,36928091.0
2020-06-10,347.9,354.77,346.09,352.84,86.6007779455896,41662938.0
2020-06-11,349.31,351.06,335.48,335.9,82.4430373878345,50415613.0
2020-06-12,344.72,347.8,334.22,338.8,83.1548111551008,50036513.0
2020-06-15,333.25,345.68,332.58,342.99,84.1832015291854,34702230.0
2020-06-16,351.46,353.2,344.72,352.08,86.4142441307198,41357182.0
2020-06-17,355.15,355.4,351.09,351.59,86.2939789079748,28601626.0
2020-06-18,351.41,353.45,349.22,351.73,86.3283404001877,24205096.0
2020-06-19,354.64,356.56,345.15,349.72,85.8350075477032,66118952.0
2020-06-22,351.34,359.46,351.15,358.87,88.0807765030431,33861316.0
2020-06-23,364.0,372.38,362.27,366.53,89.9608410055463,53038869.0
2020-06-24,365.0,368.79,358.52,360.06,88.3728491868524,48155849.0
2020-06-25,360.7,365.0,357.57,364.84,89.5460487066911,34380628.0
2020-06-26,364.41,365.32,353.02,353.63,86.7946749373621,51314211.0
2020-06-29,353.25,362.1736,351.28,361.78,88.7950046626102,32661519.0
